,time,price,fees,treasury,entry_fee_income,exit_fee_income,LA_exposure,LA_position,funding_payments,bull,liquidations,exits
137,2019-09-22,0.96,154009.50877427327,48851920.71585583,46034.53839343983,101814.59002986252,10076058.100596244,77478379.3219286,283017.2426409414,False,28.0,118.0
138,2019-09-23,0.96,106402.48898538767,48676323.263181336,39921.903759229775,62224.48566674239,10571155.38986291,82066744.38747992,281999.9416598854,False,0.0,73.0
139,2019-09-24,0.95,151528.8414800804,48549533.34766485,47672.77918787171,96279.62021820464,10208490.883502748,80966076.7187609,278318.7569965701,False,11.0,121.0
140,2019-09-25,0.83,304759.8920927418,48610998.8594236,45602.585325535714,207348.12511144,5180730.524574336,35755965.20889899,243294.3803339928,False,253.0,95.0
141,2019-09-26,0.84,101160.99005052698,49189936.29093134,40882.17732026461,44093.054322178046,6366223.232428761,47398456.49377079,477776.4414572096,True,0.0,60.0
142,2019-09-27,0.81,99109.67300772324,49049501.20055432,35706.80345206717,44572.03168418865,6856339.933303402,53990091.27241565,239544.76338474388,False,19.0,59.0
143,2019-09-28,0.82,112144.03991303174,49781520.825181454,39769.84761183352,52188.265116852504,7813352.123965229,62995486.25143363,619875.5847141071,True,0.0,76.0
144,2019-09-29,0.83,129880.271215707,50597401.29243946,41590.59793761047,66210.02717142634,8639336.788686793,68875521.69099402,686000.1960423006,True,0.0,83.0
145,2019-09-30,0.83,96686.32499390817,50441631.06109855,41542.64807580572,38707.00166913806,10266590.656144975,82242477.8604137,252456.55633481816,False,0.0,46.0
146,2019-10-01,1.03,203384.53795326245,51704794.23231632,47419.551934794756,162066.5221570656,10837904.796767853,85742607.86929655,1059778.6332645055,True,0.0,122.0
147,2019-10-02,0.83,138622.062989088,51585236.08215479,41476.776475458864,73579.53580548418,9181427.148390887,71917056.9377793,258180.21315062093,False,90.0,45.0
148,2019-10-03,0.83,59114.830369246614,51387162.04497967,38628.89516487471,10436.414041599977,11568363.28319322,92043977.50649902,257188.86754436968,False,0.0,16.0
149,2019-10-04,0.71,347065.99075613404,51513840.224303566,36776.376320838484,209640.47711601667,4396598.837157811,30818201.650433864,220387.8114322345,False,314.0,125.0
150,2019-10-05,0.71,61242.76973288867,51355373.14048185,38512.48787031614,4969.878640034815,7138134.281438466,56189714.71402453,219709.8535545953,False,0.0,17.0
151,2019-10-06,0.71,47159.75777534852,51183558.10811063,31153.668841789025,2329.759178708417,9756634.961696804,77308580.38475329,218974.7901465757,False,0.0,8.0
152,2019-10-07,0.71,50912.75849811019,51016212.02071699,35274.658695091806,873.3998385664216,12892178.911054205,101842354.17053398,218258.8458917532,False,0.0,2.0
153,2019-10-08,0.7,165252.272999188,50966502.14368257,36126.89796474875,79549.69313468285,12212977.08858211,97802277.24273895,214962.15003360796,False,5.0,114.0
154,2019-10-09,0.69,179493.5121171995,50934251.23378476,35130.381191256034,88720.14216961162,11201802.926704224,89716920.7712745,211744.42201501102,False,5.0,124.0
155,2019-10-10,0.68,169869.2518094707,50895615.674013,37825.910098070926,77685.18113236915,10571086.752482155,87669116.3749747,208504.81158122447,False,0.0,126.0
156,2019-10-11,0.73,185517.52857456025,51791011.11881477,32412.291044614973,103015.504814814,9898552.7018879,81036291.80675812,709877.916227201,True,0.0,136.0
157,2019-10-12,0.7,148826.57703033744,51721690.37752256,36577.50911179676,67601.09480943946,9742881.805224154,79689577.31584069,218147.31832254943,False,0.0,98.0
158,2019-10-13,0.7,130575.68735594043,51634486.54740601,39025.24845650081,52377.73269265749,10632619.165231548,88858421.6802493,217779.5174724897,False,0.0,77.0
159,2019-10-14,0.7,83118.4976482847,51500391.103865065,33861.29453600738,24321.653817791906,12632751.257458137,104358755.69961458,217213.941189228,False,0.0,30.0
160,2019-10-15,0.67,185092.11476336452,51477707.576089546,32082.94077202597,91928.77611942825,10807277.359918132,89526948.57753974,207775.6425388863,False,6.0,135.0
161,2019-10-16,0.59,336662.2826294594,51630946.98941914,28196.09313764858,170434.65361373246,4304219.4247687375,30514084.29206596,183422.86929986527,False,286.0,125.0
162,2019-10-17,0.54,121661.2982115687,51584929.83677878,25527.177039839713,40169.923994407385,4378861.841563942,32967232.947721474,167678.45085192352,False,71.0,49.0
163,2019-10-18,0.54,55919.08661292574,51473532.57287992,22877.484569142704,7318.822201837199,6663513.830321688,50761745.41829935,167316.35051178915,False,0.0,18.0
164,2019-10-19,0.53,95090.11247126563,51404634.46521177,22699.491374279212,27698.268235491574,7670310.440366122,58171106.73397733,163988.22013941678,False,7.0,61.0
165,2019-10-20,0.52,113012.62416135988,51356912.03045429,22359.84192121103,36406.722642696106,7864621.338876262,61070154.64379956,160735.05891884418,False,3.0,85.0
166,2019-10-21,0.52,100725.30594782553,51297089.50791255,26141.759613062753,26235.399479806525,9498127.349704709,73593289.13722216,160547.82848957463,False,0.0,56.0
167,2019-10-22,0.49,151050.5443502362,51296882.52050913,22576.215464675897,51438.55126693983,8592197.836893938,66140318.20235712,151257.53175365258,False,32.0,108.0
168,2019-10-23,0.48,153232.07524638838,51301938.26571974,22960.985939636383,50590.410178630045,8267360.501582296,62359037.50914885,148176.3300357759,False,32.0,81.0
169,2019-10-24,0.47,129547.12508034626,51286448.60199803,21616.961219245615,39270.187568517125,8463000.269935956,63168260.50606327,145036.78880205625,False,21.0,75.0
170,2019-10-25,0.46,143312.02553193198,51287814.48819798,22629.76462910322,43293.76711558549,8284285.705318669,62892603.95393594,141946.1393319827,False,22.0,106.0
171,2019-10-26,0.48,120015.67026675746,51808857.83320346,21759.81617214268,35847.705555900895,8950437.75786455,69622860.19769499,401027.67473872314,True,0.0,81.0
